imdb_id,omdb_title,omdb_year,awards_text,omdb_boxoffice,omdb_imdb_rating,omdb_metascore,omdb_imdb_votes,response_ok,error_msg,fetched_at,omdb_boxoffice_usd,oscar_winner_flag,oscar_nominee_flag
tt0499554,Reno 911!: Miami,2007,1 nomination total,"$20,342,161",5.9,47,"28,484",True,,2025-10-28T12:16:02.100959,20342161.0,0,0
tt0758746,Friday the 13th,2009,2 wins & 5 nominations total,"$65,002,019",5.5,34,"122,184",True,,2025-10-28T12:16:03.044725,65002019.0,0,0
tt0758752,Love & Other Drugs,2010,1 win & 5 nominations total,"$32,367,005",6.7,55,"241,330",True,,2025-10-28T12:16:03.453037,32367005.0,0,0
tt0758774,Body of Lies,2008,2 nominations total,"$39,394,666",7.0,57,"246,977",True,,2025-10-28T12:16:03.866383,39394666.0,0,0
tt0762107,I Now Pronounce You Chuck & Larry,2007,14 nominations total,"$120,059,556",5.9,37,"158,599",True,,2025-10-28T12:16:04.277524,120059556.0,0,0
tt0762121,The Nativity Story,2006,3 wins & 3 nominations total,"$37,629,831",6.8,52,"12,726",True,,2025-10-28T12:16:04.864696,37629831.0,0,0
tt0762125,Planet 51,2009,3 wins & 3 nominations total,"$42,194,060",6.0,39,"60,848",True,,2025-10-28T12:16:05.275624,42194060.0,0,0
tt0763831,A Thousand Words,2012,3 nominations total,"$18,450,127",5.9,26,"46,458",True,,2025-10-28T12:16:05.684461,18450127.0,0,0
tt0765010,Brothers,2009,4 wins & 16 nominations total,"$28,544,157",7.1,58,"164,874",True,,2025-10-28T12:16:06.095806,28544157.0,0,0
tt0765128,Oceans,2008,2 wins & 4 nominations total,"$19,422,319",7.7,75,"10,283",True,,2025-10-28T12:16:06.508172,19422319.0,0,0
tt0765429,American Gangster,2007,Nominated for 2 Oscars. 12 wins & 38 nominations total,"$130,164,645",7.8,76,"476,397",True,,2025-10-28T12:16:06.917335,130164645.0,0,1
tt0765446,Escape from Planet Earth,2012,1 win total,"$57,012,977",5.8,35,"27,658",True,,2025-10-28T12:16:07.336303,57012977.0,0,0
tt0765476,Meet Dave,2008,2 wins & 3 nominations total,"$11,803,254",5.1,43,"45,236",True,,2025-10-28T12:16:07.752851,11803254.0,0,0
tt0770703,What's Your Number?,2011,1 win total,"$14,011,084",6.0,35,"90,583",True,,2025-10-28T12:16:08.170753,14011084.0,0,0
tt0770752,Fool's Gold,2008,5 nominations total,"$70,231,041",5.7,29,"87,621",True,,2025-10-28T12:16:08.585654,70231041.0,0,0
tt0770772,I Think I Love My Wife,2007,1 nomination total,"$12,550,605",5.5,49,"17,849",True,,2025-10-28T12:16:09.009948,12550605.0,0,0
tt0770828,Man of Steel,2013,Nominated for 1 BAFTA Award7 wins & 46 nominations total,"$291,045,518",7.1,55,"855,179",True,,2025-10-28T12:16:09.431030,291045518.0,0,0
tt0775489,The Illusionist,2010,Nominated for 1 Oscar. 7 wins & 35 nominations total,"$2,231,474",7.4,82,"36,923",True,,2025-10-28T12:16:09.844927,2231474.0,0,1
tt0775539,Stomp the Yard,2007,9 nominations,"$61,356,221",5.4,44,"26,653",True,,2025-10-28T12:16:10.259155,61356221.0,0,0
tt0775552,Aliens in the Attic,2009,2 nominations total,"$25,200,412",5.4,42,"25,260",True,,2025-10-28T12:16:10.682813,25200412.0,0,0
tt0780504,Drive,2011,Nominated for 1 Oscar. 79 wins & 180 nominations total,"$35,061,555",7.8,79,"746,778",True,,2025-10-28T12:16:11.168585,35061555.0,0,1
tt0780511,Everybody's Fine,2009,1 win & 6 nominations total,"$9,208,876",7.1,47,"65,076",True,,2025-10-28T12:16:11.581710,9208876.0,0,0
tt0780521,The Princess and the Frog,2009,Nominated for 3 Oscars. 10 wins & 42 nominations total,"$104,400,899",7.2,73,"180,621",True,,2025-10-28T12:16:11.993695,104400899.0,0,1
tt0780567,Imagine That,2009,1 win & 2 nominations total,"$16,123,323",5.6,54,"16,074",True,,2025-10-28T12:16:12.411295,16123323.0,0,0
tt0780571,Mr. Brooks,2007,2 nominations,"$28,549,298",7.3,45,"158,358",True,,2025-10-28T12:16:12.823498,28549298.0,0,0
tt0780595,Redline,2007,1 nomination total,"$6,881,022",4.0,24,"9,227",True,,2025-10-28T12:16:13.233900,6881022.0,0,0
tt0780653,The Wolfman,2010,Won 1 Oscar. 4 wins & 9 nominations total,"$61,979,680",5.9,43,"116,044",True,,2025-10-28T12:16:13.644902,61979680.0,1,0
tt0783532,Gangster's Paradise: Jerusalema,2008,6 wins & 1 nomination,"$7,294",7.3,53,"10,962",True,,2025-10-28T12:16:14.054522,7294.0,0,0
tt0784972,The Brothers Solomon,2007,1 win,"$900,926",5.3,32,"11,542",True,,2025-10-28T12:16:14.466828,900926.0,0,0
tt0785025,Love's Abiding Joy,2006,N/A,"$252,726",6.8,N/A,"2,094",True,,2025-10-28T12:16:14.884878,252726.0,0,0
tt0787474,The Boxtrolls,2014,Nominated for 1 Oscar. 8 wins & 61 nominations total,"$50,837,305",6.8,61,"63,617",True,,2025-10-28T12:16:15.300230,50837305.0,0,1
tt0790628,The Incredible Burt Wonderstone,2013,1 win & 4 nominations total,"$22,537,881",5.9,44,"77,401",True,,2025-10-28T12:16:15.721621,22537881.0,0,0
tt0790636,Dallas Buyers Club,2013,Won 3 Oscars. 85 wins & 88 nominations total,"$27,298,285",7.9,77,"537,717",True,,2025-10-28T12:16:16.130427,27298285.0,1,0
tt0790657,Everybody Wants to Be Italian,2007,N/A,"$351,416",5.7,26,"1,981",True,,2025-10-28T12:16:16.542711,351416.0,0,0
tt0790712,The Messenger,2009,Nominated for 2 Oscars. 17 wins & 47 nominations total,"$1,109,660",7.1,77,"37,252",True,,2025-10-28T12:16:16.960258,1109660.0,0,1
