imdb_id,omdb_title,omdb_year,awards_text,omdb_boxoffice,omdb_imdb_rating,omdb_metascore,omdb_imdb_votes,response_ok,error_msg,fetched_at
tt0271367,Eight Legged Freaks,2002,1 nomination total,"$17,322,606",5.5,53,"62,408",True,,2025-10-27T14:10:26.557036
tt0272020,The Last Castle,2001,1 win & 4 nominations total,"$18,244,060",6.9,43,"88,214",True,,2025-10-27T14:10:26.958665
tt0272152,K-PAX,2001,3 nominations total,"$50,338,485",7.4,49,"199,102",True,,2025-10-27T14:10:27.358745
tt0272207,Narc,2002,1 win & 9 nominations total,"$10,465,659",7.1,70,"44,653",True,,2025-10-27T14:10:27.768323
tt0273435,Ararat,2002,12 wins & 13 nominations,"$1,555,959",6.3,62,"14,848",True,,2025-10-27T14:10:28.185802
tt0273517,Darkness,2002,2 wins & 3 nominations total,"$22,163,442",5.4,15,"20,616",True,,2025-10-27T14:10:28.588524
tt0273799,Max Keeble's Big Move,2001,1 win & 1 nomination total,"$17,294,293",5.4,40,"8,956",True,,2025-10-27T14:10:28.998918
tt0274166,Johnny English,2003,6 nominations total,"$28,082,366",6.3,51,"182,397",True,,2025-10-27T14:10:29.402781
tt0274558,The Hours,2002,Won 1 Oscar. 43 wins & 126 nominations total,"$41,675,994",7.5,80,"145,484",True,,2025-10-27T14:10:29.805816
tt0275022,Crossroads,2002,2 wins & 15 nominations total,"$37,581,825",3.9,27,"46,250",True,,2025-10-27T14:10:30.218376
tt0275491,Bad Education,2004,Nominated for 1 BAFTA Award16 wins & 42 nominations total,"$5,284,284",7.4,81,"64,993",True,,2025-10-27T14:10:30.622094
tt0275847,Lilo & Stitch,2002,Nominated for 1 Oscar. 12 wins & 28 nominations total,"$145,794,338",7.4,75,"237,563",True,,2025-10-27T14:10:31.031494
tt0276033,The Country Bears,2002,4 nominations total,"$16,990,825",4.2,37,"6,405",True,,2025-10-27T14:10:31.443158
tt0276751,About a Boy,2002,Nominated for 1 Oscar. 11 wins & 30 nominations total,"$41,385,278",7.1,75,"197,491",True,,2025-10-27T14:10:31.849837
tt0276919,Dogville,2003,21 wins & 33 nominations total,"$1,535,286",8.0,61,"164,417",True,,2025-10-27T14:10:32.260065
tt0277296,The Scorpion King,2002,2 wins & 4 nominations total,"$91,047,077",5.5,45,"150,184",True,,2025-10-27T14:10:32.673691
tt0277371,Not Another Teen Movie,2001,5 nominations total,"$38,252,284",5.8,32,"123,556",True,,2025-10-27T14:10:33.090393
tt0277434,We Were Soldiers,2002,3 wins & 5 nominations total,"$78,122,718",7.2,65,"157,431",True,,2025-10-27T14:10:33.497777
tt0277895,Mickey,2004,N/A,"$294,758",6.5,N/A,517,True,,2025-10-27T14:10:33.901645
tt0278295,All About the Benjamins,2002,N/A,"$25,916,319",5.8,34,"16,197",True,,2025-10-27T14:10:34.308068
tt0278435,Enough,2002,4 nominations,"$40,007,742",5.8,25,"48,805",True,,2025-10-27T14:10:34.714491
tt0278488,How High,2001,N/A,"$31,178,740",6.2,29,"62,971",True,,2025-10-27T14:10:35.139770
tt0278504,Insomnia,2002,1 win & 11 nominations total,"$67,355,513",7.2,78,"330,817",True,,2025-10-27T14:10:35.548873
tt0278731,Spider,2002,13 wins & 25 nominations total,"$1,642,483",6.7,83,"42,336",True,,2025-10-27T14:10:35.962282
tt0279111,Gods and Generals,2003,1 win & 4 nominations total,"$12,882,934",6.2,30,"17,679",True,,2025-10-27T14:10:36.370727
tt0279113,The Good Girl,2002,5 wins & 16 nominations total,"$14,018,296",6.4,71,"49,043",True,,2025-10-27T14:10:36.786283
tt0279286,On the Line,2001,4 nominations total,"$4,365,455",4.2,34,"4,474",True,,2025-10-27T14:10:37.197151
tt0279331,Dark Blue,2002,4 nominations total,"$9,250,301",6.6,57,"24,889",True,,2025-10-27T14:10:37.604318
tt0279721,The Calling,2002,N/A,"$6,092",4.7,N/A,215,True,,2025-10-27T14:10:38.008039
tt0279778,Divine Secrets of the Ya-Ya Sisterhood,2002,1 win & 7 nominations total,"$69,599,016",6.1,48,"21,588",True,,2025-10-27T14:10:38.422893
tt0279781,Sorority Boys,2002,1 win & 1 nomination,"$10,200,032",5.5,25,"16,450",True,,2025-10-27T14:10:38.832505
tt0279889,Joe Somebody,2001,1 nomination,"$22,771,646",5.5,42,"11,235",True,,2025-10-27T14:10:39.239850
tt0280030,Return to Never Land,2002,4 nominations total,"$48,430,258",5.8,49,"23,445",True,,2025-10-27T14:10:39.655245
tt0280380,Trapped,2002,N/A,"$7,073,251",6.1,42,"26,706",True,,2025-10-27T14:10:40.058915
tt0280460,The Banger Sisters,2002,1 win & 1 nomination total,"$30,307,416",5.7,48,"17,585",True,,2025-10-27T14:10:40.475218
tt0280477,Better Luck Tomorrow,2002,1 win & 2 nominations total,"$3,802,390",7.0,67,"10,735",True,,2025-10-27T14:10:40.897858
tt0280486,Bad Company,2002,N/A,"$30,160,161",5.6,37,"50,597",True,,2025-10-27T14:10:41.320829
tt0280590,Mr. Deeds,2002,5 wins & 9 nominations total,"$126,293,452",5.8,24,"159,879",True,,2025-10-27T14:10:41.728137
tt0280707,Gosford Park,2001,Won 1 Oscar. 36 wins & 74 nominations total,"$41,308,615",7.2,90,"99,336",True,,2025-10-27T14:10:42.137697
tt0280760,Igby Goes Down,2002,7 wins & 17 nominations total,"$4,777,465",6.8,72,"36,594",True,,2025-10-27T14:10:42.542847
tt0281322,Undisputed,2002,2 nominations total,"$12,764,657",6.1,58,"35,898",True,,2025-10-27T14:10:42.949052
tt0281358,A Walk to Remember,2002,4 wins & 2 nominations total,"$41,281,092",7.3,35,"228,851",True,,2025-10-27T14:10:43.356318
tt0281373,Snow Dogs,2002,1 win total,"$81,172,560",5.2,29,"29,177",True,,2025-10-27T14:10:43.774188
tt0281820,The Good Thief,2002,1 win & 1 nomination total,"$3,517,797",6.5,68,"11,033",True,,2025-10-27T14:10:44.180431
tt0282120,The Wild Thornberrys,2002,Nominated for 1 Oscar. 13 nominations total,"$40,108,697",5.7,69,"15,656",True,,2025-10-27T14:10:44.598442
tt0282209,Darkness Falls,2003,1 win & 2 nominations total,"$32,551,396",5.0,23,"34,582",True,,2025-10-27T14:10:45.010670
tt0282687,Life or Something Like It,2002,1 nomination total,"$14,448,589",5.8,31,"28,690",True,,2025-10-27T14:10:45.421714
tt0283026,Swimfan,2002,N/A,"$28,564,995",5.1,29,"21,553",True,,2025-10-27T14:10:45.835136
tt0283111,Van Wilder,2002,2 nominations total,"$21,305,259",6.4,26,"119,098",True,,2025-10-27T14:10:46.247461
tt0283139,White Oleander,2002,3 wins & 7 nominations,"$16,357,770",7.1,61,"34,623",True,,2025-10-27T14:10:46.660651
tt0283426,The Jungle Book 2,2003,1 win & 9 nominations total,"$47,901,582",5.3,38,"19,093",True,,2025-10-27T14:10:47.083791
tt0283503,Brooklyn Rules,2007,N/A,"$458,232",6.3,53,"6,111",True,,2025-10-27T14:10:47.639737
tt0283530,The Emperor's Club,2002,2 nominations total,"$14,118,751",6.9,49,"18,214",True,,2025-10-27T14:10:48.049802
tt0283632,They,2002,1 win & 1 nomination,"$12,840,842",4.8,31,"14,209",True,,2025-10-27T14:10:48.464307
tt0284490,Showtime,2002,1 win & 6 nominations total,"$38,082,712",5.5,32,"66,426",True,,2025-10-27T14:10:48.889050
tt0285175,Havoc,2005,1 win & 4 nominations total,N/A,5.4,N/A,"21,640",True,,2025-10-27T14:10:49.304300
tt0285462,Boat Trip,2002,1 win & 8 nominations total,"$8,600,126",4.9,18,"32,964",True,,2025-10-27T14:10:49.726315
tt0285487,Crazy as Hell,2002,1 win & 2 nominations,"$21,679",5.8,33,"1,126",True,,2025-10-27T14:10:50.146341
tt0285531,Dreamcatcher,2003,5 nominations total,"$33,715,436",5.5,35,"98,906",True,,2025-10-27T14:10:50.549486
tt0285728,Dahmer,2002,3 nominations total,"$144,008",5.6,63,"11,990",True,,2025-10-27T14:10:50.954713
tt0285742,Monster's Ball,2001,Won 1 Oscar. 15 wins & 23 nominations total,"$31,273,922",7.0,69,"96,641",True,,2025-10-27T14:10:51.360310
tt0285823,Once Upon a Time in Mexico,2003,3 wins & 6 nominations total,"$56,359,780",6.3,56,"174,213",True,,2025-10-27T14:10:51.769827
tt0285861,Owning Mahowny,2003,3 wins & 5 nominations,"$1,011,871",7.0,70,"14,951",True,,2025-10-27T14:10:52.175739
tt0286106,Signs,2002,3 wins & 34 nominations total,"$227,966,634",6.8,59,"407,236",True,,2025-10-27T14:10:52.580293
tt0286162,Stolen Summer,2002,N/A,"$134,736",6.5,36,"2,875",True,,2025-10-27T14:10:52.983707
tt0286261,All or Nothing,2002,3 wins & 13 nominations,"$201,546",7.5,72,"11,650",True,,2025-10-27T14:10:53.396650
tt0286594,Close Your Eyes,2002,5 wins & 2 nominations total,"$41,392",6.1,45,"3,291",True,,2025-10-27T14:10:53.824851
tt0286716,Hulk,2003,3 wins & 14 nominations total,"$132,177,234",5.7,54,"288,826",True,,2025-10-27T14:10:54.232297
tt0286788,What a Girl Wants,2003,1 win,"$36,105,433",5.8,41,"67,532",True,,2025-10-27T14:10:54.636860
tt0286947,Scorched,2003,N/A,"$8,000",5.9,N/A,"7,199",True,,2025-10-27T14:10:55.038129
tt0287717,Spy Kids 2: Island of Lost Dreams,2002,3 wins & 3 nominations total,"$85,846,429",5.3,66,"77,257",True,,2025-10-27T14:10:55.446566
tt0287978,Daredevil,2003,5 wins & 17 nominations total,"$102,543,518",5.3,42,"237,070",True,,2025-10-27T14:10:55.852201
tt0288477,Ghost Ship,2002,1 nomination total,"$30,113,491",5.6,28,"114,180",True,,2025-10-27T14:10:56.258753
tt0289043,28 Days Later,2002,10 wins & 32 nominations total,"$45,064,915",7.5,73,"520,783",True,,2025-10-27T14:10:56.666260
tt0289408,The Powerpuff Girls Movie,2002,N/A,"$11,412,414",6.5,65,"11,232",True,,2025-10-27T14:10:57.073725
tt0289635,Young Adam,2003,7 wins & 17 nominations total,"$767,373",6.3,67,"15,075",True,,2025-10-27T14:10:57.483058
tt0289765,Red Dragon,2002,4 wins & 10 nominations total,"$93,149,898",7.2,60,"305,958",True,,2025-10-27T14:10:57.891673
tt0289848,Analyze That,2002,1 win total,"$32,130,627",5.9,37,"91,574",True,,2025-10-27T14:10:58.300789
tt0289879,The Butterfly Effect,2004,1 win & 8 nominations total,"$57,938,693",7.6,30,"546,371",True,,2025-10-27T14:10:58.707707
tt0289992,The Life of David Gale,2003,3 nominations total,"$19,955,598",7.5,31,"130,172",True,,2025-10-27T14:10:59.113963
tt0290002,Meet the Fockers,2004,2 wins & 7 nominations total,"$279,261,160",6.4,41,"297,208",True,,2025-10-27T14:10:59.526458
tt0290095,The Tuxedo,2002,2 wins & 1 nomination total,"$50,547,998",5.4,30,"91,605",True,,2025-10-27T14:10:59.928813
tt0290212,Full Frontal,2002,2 nominations,"$2,512,846",4.7,45,"11,380",True,,2025-10-27T14:11:00.331640
tt0290249,New Suit,2002,2 wins & 1 nomination,"$71,743",5.8,53,393,True,,2025-10-27T14:11:00.746204
tt0290332,The Wash,2001,N/A,"$10,097,538",4.8,18,"7,799",True,,2025-10-27T14:11:01.163164
tt0290334,X2: X-Men United,2003,6 wins & 41 nominations total,"$214,949,694",7.4,68,"604,135",True,,2025-10-27T14:11:01.579651
tt0291502,Swept Away,2002,8 wins & 8 nominations,"$598,645",3.6,18,"18,162",True,,2025-10-27T14:11:01.984897
tt0292610,No Good Deed,2002,1 nomination,"$181,600",5.4,N/A,"7,929",True,,2025-10-27T14:11:02.391736
tt0292644,The Rules of Attraction,2002,2 wins & 3 nominations total,"$6,532,619",6.6,50,"54,681",True,,2025-10-27T14:11:02.802234
tt0293113,Dracula: Pages from a Virgin's Diary,2002,4 wins & 2 nominations,"$55,365",6.8,84,"2,274",True,,2025-10-27T14:11:03.205467
tt0293508,The Phantom of the Opera,2004,Nominated for 3 Oscars. 7 wins & 42 nominations total,"$51,293,931",7.2,40,"136,113",True,,2025-10-27T14:11:03.611916
tt0293564,Rush Hour 3,2007,9 nominations total,"$140,125,968",6.2,44,"194,948",True,,2025-10-27T14:11:04.020494
tt0293662,The Transporter,2002,N/A,"$25,296,447",6.8,51,"334,172",True,,2025-10-27T14:11:04.424610
tt0294357,Beyond Borders,2003,2 nominations total,"$4,430,101",6.4,32,"29,419",True,,2025-10-27T14:11:04.833753
tt0294870,Rent,2005,1 win & 22 nominations total,"$29,077,547",6.8,53,"57,179",True,,2025-10-27T14:11:05.242362
tt0295178,Austin Powers in Goldmember,2002,5 wins & 23 nominations total,"$213,307,889",6.3,62,"230,968",True,,2025-10-27T14:11:05.651292
tt0295254,Feardotcom,2002,3 wins & 3 nominations,"$13,258,249",3.4,16,"23,090",True,,2025-10-27T14:11:06.068685
tt0295289,A Guy Thing,2003,N/A,"$15,545,431",5.6,27,"18,987",True,,2025-10-27T14:11:06.473894
tt0295297,Harry Potter and the Chamber of Secrets,2002,Won 1 BAFTA Award14 wins & 50 nominations total,"$262,641,637",7.5,63,"743,644",True,,2025-10-27T14:11:06.883921
tt0295427,The Master of Disguise,2002,1 win & 6 nominations,"$40,388,794",3.3,12,"27,779",True,,2025-10-27T14:11:07.292900
tt0295700,Wrong Turn,2003,3 nominations total,"$15,418,790",6.1,32,"142,364",True,,2025-10-27T14:11:07.739172
tt0295701,xXx,2002,4 wins & 14 nominations total,"$142,109,382",5.9,48,"191,427",True,,2025-10-27T14:11:08.147394
tt0295721,Taxi 3,2003,N/A,"$497,208",5.8,N/A,"47,530",True,,2025-10-27T14:11:08.565303
tt0295725,Time Changer,2002,N/A,"$1,305,964",5.2,26,"3,060",True,,2025-10-27T14:11:08.972586
tt0296572,The Chronicles of Riddick,2004,5 nominations total,"$57,761,012",6.6,38,"249,300",True,,2025-10-27T14:11:09.378865
tt0297037,Brown Sugar,2002,2 wins & 18 nominations total,"$27,363,891",6.5,58,"10,569",True,,2025-10-27T14:11:09.804234
tt0297181,I Spy,2002,2 wins & 6 nominations total,"$33,561,137",5.4,35,"54,769",True,,2025-10-27T14:11:10.212207
tt0297884,Far from Heaven,2002,Nominated for 4 Oscars. 102 wins & 96 nominations total,"$15,901,849",7.3,84,"50,758",True,,2025-10-27T14:11:10.625954
tt0298130,The Ring,2002,14 wins & 12 nominations total,"$129,128,133",7.1,57,"395,507",True,,2025-10-27T14:11:11.045134
tt0298148,Shrek 2,2004,Nominated for 2 Oscars. 18 wins & 52 nominations total,"$444,978,202",7.4,75,"538,651",True,,2025-10-27T14:11:11.450224
tt0298203,8 Mile,2002,Won 1 Oscar. 17 wins & 21 nominations total,"$116,750,901",7.2,77,"344,799",True,,2025-10-27T14:11:11.854533
tt0298228,Whale Rider,2002,Nominated for 1 Oscar. 33 wins & 35 nominations total,"$20,779,666",7.5,80,"44,401",True,,2025-10-27T14:11:12.265129
tt0298388,Jonah: A VeggieTales Movie,2002,2 nominations,"$25,581,229",6.4,58,"4,628",True,,2025-10-27T14:11:12.678381
tt0298814,The Core,2003,N/A,"$31,186,896",5.5,48,"113,416",True,,2025-10-27T14:11:13.087246
tt0299172,Home on the Range,2004,5 nominations total,"$50,030,461",5.4,50,"28,231",True,,2025-10-27T14:11:13.495102
tt0299658,Chicago,2002,Won 6 Oscars. 59 wins & 129 nominations total,"$170,687,518",7.2,81,"251,491",True,,2025-10-27T14:11:13.916643
tt0299930,Gigli,2003,12 wins & 13 nominations total,"$6,087,542",2.7,18,"51,524",True,,2025-10-27T14:11:14.338148
tt0299977,Hero,2002,Nominated for 1 Oscar. 46 wins & 48 nominations total,"$53,710,019",7.9,85,"192,049",True,,2025-10-27T14:11:14.750075
tt0300015,I Capture the Castle,2003,2 wins & 4 nominations total,"$1,179,035",6.8,63,"8,205",True,,2025-10-27T14:11:15.156621
tt0300051,Jersey Girl,2004,2 wins & 8 nominations,"$25,268,157",6.2,43,"71,828",True,,2025-10-27T14:11:15.559895
tt0300471,Shanghai Knights,2003,5 nominations total,"$60,476,872",6.2,58,"115,713",True,,2025-10-27T14:11:15.968540
tt0300532,Blue Crush,2002,1 win & 7 nominations total,"$40,390,647",5.7,61,"33,707",True,,2025-10-27T14:11:16.375450
tt0300556,Timeline,2003,N/A,"$19,481,943",5.6,29,"68,593",True,,2025-10-27T14:11:16.782783
tt0301470,Jeepers Creepers 2,2003,6 nominations total,"$35,667,218",5.7,36,"74,562",True,,2025-10-27T14:11:17.337063
