imdb_id,omdb_title,omdb_year,awards_text,omdb_boxoffice,omdb_imdb_rating,omdb_metascore,omdb_imdb_votes,response_ok,error_msg,fetched_at,omdb_boxoffice_usd,oscar_winner_flag,oscar_nominee_flag
tt2023587,Mama,2013,11 wins & 19 nominations total,"$71,628,180",6.2,57,"197,699",True,,2025-10-29T13:47:56.529850,71628180.0,0,0
tt2024432,Identity Thief,2013,1 win & 9 nominations total,"$134,506,920",5.7,35,"144,775",True,,2025-10-29T13:47:56.957784,134506920.0,0,0
tt2024469,Non-Stop,2014,1 nomination total,"$92,168,600",6.9,56,"283,572",True,,2025-10-29T13:47:57.381835,92168600.0,0,0
tt2024544,12 Years a Slave,2013,Won 3 Oscars. 244 wins & 338 nominations total,"$56,671,993",8.1,96,"772,130",True,,2025-10-29T13:47:57.810929,56671993.0,1,0
tt2034139,The Last Exorcism Part II,2013,1 win & 2 nominations total,"$15,179,302",4.0,35,"17,323",True,,2025-10-29T13:47:58.235612,15179302.0,0,0
tt2034800,The Great Wall,2016,3 wins & 2 nominations total,"$45,540,830",5.9,42,"156,740",True,,2025-10-29T13:47:58.668463,45540830.0,0,0
tt2039338,Flatliners,2017,1 win & 4 nominations total,"$16,883,115",5.2,27,"52,106",True,,2025-10-29T13:47:59.100894,16883115.0,0,0
tt2039393,The Gambler,2014,1 win & 3 nominations total,"$33,680,992",6.0,55,"75,412",True,,2025-10-29T13:47:59.529446,33680992.0,0,0
tt2052015,Water & Power,2013,N/A,"$82,312",4.2,N/A,149,True,,2025-10-29T13:47:59.960921,82312.0,0,0
tt2058673,Point Break,2015,2 wins & 4 nominations total,"$28,782,481",5.3,34,"67,928",True,,2025-10-29T13:48:00.400699,28782481.0,0,0
tt2066051,Rocketman,2019,Won 1 Oscar. 25 wins & 87 nominations total,"$96,368,160",7.3,69,"204,815",True,,2025-10-29T13:48:00.823898,96368160.0,1,0
tt2080374,Steve Jobs,2015,Nominated for 2 Oscars. 28 wins & 117 nominations total,"$17,766,658",7.2,82,"184,236",True,,2025-10-29T13:48:01.267138,17766658.0,0,1
tt2083355,The Best Man Holiday,2013,3 wins & 15 nominations total,"$70,525,195",6.6,59,"17,550",True,,2025-10-29T13:48:01.687463,70525195.0,0,0
tt2091256,Captain Underpants: The First Epic Movie,2017,3 wins & 15 nominations total,"$73,921,000",6.2,69,"35,075",True,,2025-10-29T13:48:02.112644,73921000.0,0,0
tt2093269,The Prophet's Son,2012,N/A,"$16,983",5.2,N/A,47,True,,2025-10-29T13:48:02.542040,16983.0,0,0
tt2094766,Assassin's Creed,2016,2 wins & 2 nominations total,"$54,647,948",5.6,36,"216,208",True,,2025-10-29T13:48:02.968926,54647948.0,0,0
tt2096672,Dumb and Dumber To,2014,1 win & 7 nominations total,"$86,208,010",5.6,36,"151,451",True,,2025-10-29T13:48:03.391584,86208010.0,0,0
tt2096673,Inside Out,2015,Won 1 Oscar. 99 wins & 118 nominations total,"$356,461,711",8.1,94,"886,854",True,,2025-10-29T13:48:03.816442,356461711.0,1,0
tt2097307,Hit and Run,2012,1 win total,"$13,749,300",6.1,50,"38,474",True,,2025-10-29T13:48:04.243354,13749300.0,0,0
tt2101441,Spring Breakers,2012,14 wins & 35 nominations total,"$14,124,284",5.3,63,"152,753",True,,2025-10-29T13:48:04.670003,14124284.0,0,0
tt2103254,Tammy,2014,1 win & 7 nominations total,"$84,525,432",4.9,39,"56,325",True,,2025-10-29T13:48:05.106177,84525432.0,0,0
tt2103281,Dawn of the Planet of the Apes,2014,Nominated for 1 Oscar. 17 wins & 48 nominations total,"$208,545,589",7.6,79,"503,917",True,,2025-10-29T13:48:05.536910,208545589.0,0,1
tt2106361,Into the Storm,2014,3 wins & 1 nomination total,"$47,615,959",5.8,44,"73,498",True,,2025-10-29T13:48:05.973404,47615959.0,0,0
