imdb_id,omdb_title,omdb_year,awards_text,omdb_boxoffice,omdb_imdb_rating,omdb_metascore,omdb_imdb_votes,response_ok,error_msg,fetched_at
tt2199571,Run All Night,2015,N/A,"$26,461,644",6.6,59,"118,524",True,,2025-10-29T13:48:15.954471
tt2203939,The Other Woman,2014,3 wins & 5 nominations total,"$83,911,193",6.0,39,"157,469",True,,2025-10-29T13:48:16.387823
tt2206498,In Over My Head,2012,N/A,"$19,482",5.1,N/A,41,True,,2025-10-29T13:48:16.812880
tt2209764,Transcendence,2014,3 wins & 5 nominations total,"$23,022,309",6.2,42,"244,737",True,,2025-10-29T13:48:17.238423
tt2215285,Madea's Witness Protection,2012,1 win & 5 nominations total,"$65,653,242",5.0,42,"11,727",True,,2025-10-29T13:48:17.670119
tt2215719,Katy Perry: Part of Me,2012,1 win total,"$25,326,071",6.0,57,"13,980",True,,2025-10-29T13:48:18.106483
tt2224026,Home,2015,3 wins & 10 nominations total,"$177,397,510",6.5,55,"118,719",True,,2025-10-29T13:48:18.531404
tt2226417,Insidious: Chapter 2,2013,16 nominations total,"$83,586,447",6.6,40,"198,038",True,,2025-10-29T13:48:18.954949
tt2226597,The Mountain Between Us,2017,2 wins & 1 nomination total,"$30,348,555",6.4,48,"87,013",True,,2025-10-29T13:48:19.380315
tt2229499,Don Jon,2013,2 wins & 28 nominations total,"$24,477,704",6.5,66,"253,256",True,,2025-10-29T13:48:19.803923
tt2231461,Rampage,2018,7 nominations total,"$101,028,233",6.1,45,"197,675",True,,2025-10-29T13:48:20.227986
tt2234155,The Internship,2013,2 nominations total,"$44,672,764",6.3,42,"222,971",True,,2025-10-29T13:48:20.650769
tt2239822,Valerian and the City of a Thousand Planets,2017,11 nominations total,"$41,189,488",6.4,51,"206,328",True,,2025-10-29T13:48:21.074287
tt2239832,Think Like a Man Too,2014,2 wins & 4 nominations total,"$65,182,182",5.7,38,"23,826",True,,2025-10-29T13:48:21.500188
tt2241351,Money Monster,2016,2 nominations total,"$41,012,075",6.5,55,"110,480",True,,2025-10-29T13:48:21.923417
tt2243537,A Haunted House,2013,1 win & 1 nomination total,"$40,041,683",5.1,20,"52,749",True,,2025-10-29T13:48:22.352474
tt2245084,Big Hero 6,2014,Won 1 Oscar. 17 wins & 58 nominations total,"$222,527,828",7.8,74,"539,795",True,,2025-10-29T13:48:22.777042
tt2247476,When the Game Stands Tall,2014,1 nomination total,"$30,127,963",6.6,41,"17,366",True,,2025-10-29T13:48:23.200411
tt2250912,Spider-Man: Homecoming,2017,8 wins & 11 nominations total,"$334,952,829",7.4,73,"774,283",True,,2025-10-29T13:48:23.642030
tt2262227,The Book of Life,2014,3 wins & 29 nominations total,"$50,151,543",7.2,67,"81,652",True,,2025-10-29T13:48:24.063871
tt2267968,Kung Fu Panda 3,2016,1 win & 10 nominations total,"$143,528,619",7.1,66,"210,055",True,,2025-10-29T13:48:24.497729
tt2267998,Gone Girl,2014,Nominated for 1 Oscar. 64 wins & 189 nominations total,"$167,767,189",8.1,79,"1,142,231",True,,2025-10-29T13:48:24.920733
tt2268016,Magic Mike XXL,2015,2 wins & 5 nominations total,"$66,013,057",5.6,61,"62,982",True,,2025-10-29T13:48:25.344647
tt2274648,Hellboy,2019,1 win & 8 nominations total,"$21,903,748",5.3,31,"105,623",True,,2025-10-29T13:48:25.768837
tt2276023,The United States of Autism,2013,N/A,"$100,403",6.3,N/A,48,True,,2025-10-29T13:48:26.203357
tt2278388,The Grand Budapest Hotel,2014,Won 4 Oscars. 135 wins & 227 nominations total,"$59,301,324",8.1,88,"944,259",True,,2025-10-29T13:48:26.647866
tt2279339,Love the Coopers,2015,2 nominations total,"$26,302,731",5.8,31,"28,112",True,,2025-10-29T13:48:27.074227
tt2279373,The SpongeBob Movie: Sponge Out of Water,2015,1 win & 9 nominations total,"$162,994,032",6.0,62,"65,641",True,,2025-10-29T13:48:27.497580
tt2281587,Muppets Most Wanted,2014,Nominated for 1 BAFTA Award3 wins & 11 nominations total,"$51,183,113",6.4,61,"38,689",True,,2025-10-29T13:48:27.921057
tt2283336,Men in Black: International,2019,1 win & 9 nominations total,"$80,001,807",5.6,38,"157,214",True,,2025-10-29T13:48:28.350900
tt2283362,Jumanji: Welcome to the Jungle,2017,5 wins & 15 nominations total,"$404,540,171",7.0,58,"488,679",True,,2025-10-29T13:48:28.778142
tt2293640,Minions,2015,Nominated for 1 BAFTA Award4 wins & 29 nominations total,"$336,045,770",6.4,56,"276,757",True,,2025-10-29T13:48:29.201329
tt2294449,22 Jump Street,2014,7 wins & 25 nominations total,"$191,719,337",7.0,71,"429,225",True,,2025-10-29T13:48:29.645187
tt2294629,Frozen,2013,Won 2 Oscars. 83 wins & 60 nominations total,"$400,953,009",7.4,75,"698,041",True,,2025-10-29T13:48:30.071018
tt2296777,Sherlock Gnomes,2018,1 win & 6 nominations total,"$43,242,871",5.3,36,"15,022",True,,2025-10-29T13:48:30.503489
tt2302755,Olympus Has Fallen,2013,1 win & 5 nominations total,"$98,925,640",6.5,41,"303,186",True,,2025-10-29T13:48:30.940705
tt2304933,The 5th Wave,2016,1 nomination total,"$34,916,787",5.2,33,"124,056",True,,2025-10-29T13:48:31.364070
tt2309260,The Gallows,2015,1 nomination total,"$22,764,410",4.3,30,"22,321",True,,2025-10-29T13:48:31.800454
tt2312718,Homefront,2013,1 nomination total,"$20,158,898",6.5,40,"139,006",True,,2025-10-29T13:48:32.230121
tt2316204,Alien: Covenant,2017,3 wins & 18 nominations total,"$74,262,031",6.4,65,"337,397",True,,2025-10-29T13:48:32.659145
tt2318092,Endless Love,2014,1 win total,"$23,438,250",6.2,30,"48,655",True,,2025-10-29T13:48:33.084158
tt2322441,Fifty Shades of Grey,2015,Nominated for 1 Oscar. 9 wins & 30 nominations total,"$166,167,230",4.2,46,"350,774",True,,2025-10-29T13:48:33.508650
tt2334871,Snatched,2017,2 wins & 2 nominations total,"$45,852,178",4.7,45,"38,671",True,,2025-10-29T13:48:33.932392
tt2334879,White House Down,2013,3 wins & 9 nominations total,"$73,103,784",6.3,52,"246,051",True,,2025-10-29T13:48:34.390982
tt2345737,The Rover,2014,3 wins & 19 nominations total,"$1,114,423",6.4,64,"53,254",True,,2025-10-29T13:48:34.811775
tt2345759,The Mummy,2017,4 wins & 18 nominations total,"$80,227,895",5.4,34,"217,694",True,,2025-10-29T13:48:35.236159
