imdb_id,omdb_title,omdb_year,awards_text,omdb_boxoffice,omdb_imdb_rating,omdb_metascore,omdb_imdb_votes,response_ok,error_msg,fetched_at,omdb_boxoffice_usd,oscar_winner_flag,oscar_nominee_flag
tt0102070,Hudson Hawk,1991,3 wins & 5 nominations total,"$17,218,080",5.7,17,"63,297",True,,2025-10-26T10:45:30.691114,17218080.0,0,0
tt0102175,Jungle Fever,1991,6 wins & 11 nominations total,"$32,482,682",6.6,78,"20,231",True,,2025-10-26T10:45:31.244256,32482682.0,0,0
tt0102303,Life Stinks,1991,N/A,"$4,102,526",5.9,54,"11,903",True,,2025-10-26T10:45:31.711837,4102526.0,0,0
tt0102307,Light Sleeper,1992,1 win & 6 nominations total,"$1,050,861",6.9,70,"10,734",True,,2025-10-26T10:45:32.176571,1050861.0,0,0
tt0102370,Madonna: Truth or Dare,1991,1 win & 4 nominations,"$15,012,935",6.4,70,"10,182",True,,2025-10-26T10:45:32.660022,15012935.0,0,0
tt0102395,Mannequin: On the Move,1991,N/A,"$3,752,428",4.4,31,"7,043",True,,2025-10-26T10:45:33.117402,3752428.0,0,0
tt0102411,The Marrying Man,1991,1 nomination total,"$12,454,768",5.7,N/A,"6,560",True,,2025-10-26T10:45:33.531996,12454768.0,0,0
tt0102492,My Girl,1991,2 wins & 5 nominations total,"$59,489,799",6.9,56,"94,285",True,,2025-10-26T10:45:33.991972,59489799.0,0,0
tt0102510,The Naked Gun 2½: The Smell of Fear,1991,2 wins & 1 nomination total,"$86,930,411",6.9,65,"136,618",True,,2025-10-26T10:45:34.406006,86930411.0,0,0
tt0102526,New Jack City,1991,1 win & 6 nominations total,"$47,624,353",6.6,61,"41,253",True,,2025-10-26T10:45:34.858723,47624353.0,0,0
tt0102558,Nothing But Trouble,1991,2 wins & 6 nominations total,"$8,479,793",5.1,13,"29,145",True,,2025-10-26T10:45:35.319943,8479793.0,0,0
tt0102614,Out for Justice,1991,N/A,"$39,673,161",6.1,38,"27,301",True,,2025-10-26T10:45:35.787096,39673161.0,0,0
